True_Label,Predicted_Label,Predicted_Proba,Correct,Prediction_Type
1,1,0.80376625,True,True Positive (TP)
0,0,0.07599625,True,True Negative (TN)
1,0,0.2605114,False,
0,0,0.014684476,True,True Negative (TN)
0,0,0.016767345,True,True Negative (TN)
1,0,0.08125148,False,
0,0,0.028641816,True,True Negative (TN)
0,1,0.62109095,False,False Positive (FP)
0,0,0.02538359,True,True Negative (TN)
1,1,0.7389663,True,True Positive (TP)
0,0,0.017259382,True,True Negative (TN)
0,0,0.36070663,True,True Negative (TN)
0,0,0.08838546,True,True Negative (TN)
0,1,0.74867177,False,False Positive (FP)
0,0,0.01768124,True,True Negative (TN)
0,0,0.07955883,True,True Negative (TN)
1,0,0.3221902,False,
0,0,0.23428257,True,True Negative (TN)
0,0,0.057448078,True,True Negative (TN)
0,0,0.06955674,True,True Negative (TN)
0,0,0.31830326,True,True Negative (TN)
1,1,0.93581307,True,True Positive (TP)
0,0,0.064700074,True,True Negative (TN)
0,1,0.90876156,False,False Positive (FP)
0,0,0.016690683,True,True Negative (TN)
0,1,0.56702447,False,False Positive (FP)
0,1,0.8747046,False,False Positive (FP)
0,0,0.36931026,True,True Negative (TN)
1,1,0.6803188,True,True Positive (TP)
0,0,0.4803584,True,True Negative (TN)
1,0,0.031315822,False,
0,0,0.07908577,True,True Negative (TN)
1,1,0.9332693,True,True Positive (TP)
0,0,0.34302264,True,True Negative (TN)
0,0,0.016021281,True,True Negative (TN)
1,1,0.7470335,True,True Positive (TP)
0,1,0.5194171,False,False Positive (FP)
0,0,0.019014407,True,True Negative (TN)
0,0,0.1644902,True,True Negative (TN)
0,0,0.36945912,True,True Negative (TN)
0,0,0.14886606,True,True Negative (TN)
0,0,0.2898624,True,True Negative (TN)
1,0,0.12709375,False,
1,1,0.53269386,True,True Positive (TP)
1,1,0.91376156,True,True Positive (TP)
0,0,0.1317764,True,True Negative (TN)
1,0,0.2972296,False,
0,0,0.05200193,True,True Negative (TN)
0,0,0.08521264,True,True Negative (TN)
0,0,0.10061886,True,True Negative (TN)
1,1,0.7568455,True,True Positive (TP)
1,1,0.6506432,True,True Positive (TP)
1,1,0.54866195,True,True Positive (TP)
0,1,0.8160399,False,False Positive (FP)
0,0,0.03762102,True,True Negative (TN)
1,1,0.70661473,True,True Positive (TP)
0,0,0.24780972,True,True Negative (TN)
0,0,0.0863947,True,True Negative (TN)
1,1,0.9283236,True,True Positive (TP)
0,0,0.0820096,True,True Negative (TN)
0,0,0.10455734,True,True Negative (TN)
0,0,0.017029537,True,True Negative (TN)
0,0,0.18709934,True,True Negative (TN)
1,1,0.6920486,True,True Positive (TP)
0,0,0.2969257,True,True Negative (TN)
0,0,0.079700865,True,True Negative (TN)
1,1,0.71565133,True,True Positive (TP)
0,0,0.040997937,True,True Negative (TN)
1,1,0.9222067,True,True Positive (TP)
1,1,0.9173491,True,True Positive (TP)
1,0,0.47085813,False,
0,0,0.022672845,True,True Negative (TN)
0,0,0.10542346,True,True Negative (TN)
1,1,0.85785997,True,True Positive (TP)
0,0,0.09845186,True,True Negative (TN)
0,0,0.06691518,True,True Negative (TN)
1,0,0.47738525,False,
0,1,0.879832,False,False Positive (FP)
0,0,0.015850842,True,True Negative (TN)
0,0,0.018461945,True,True Negative (TN)
1,1,0.61385983,True,True Positive (TP)
1,0,0.28914374,False,
0,0,0.018634725,True,True Negative (TN)
0,0,0.07005049,True,True Negative (TN)
0,0,0.018465446,True,True Negative (TN)
1,1,0.94601494,True,True Positive (TP)
0,1,0.5226902,False,False Positive (FP)
0,0,0.28085703,True,True Negative (TN)
1,1,0.7929314,True,True Positive (TP)
0,0,0.016137755,True,True Negative (TN)
1,1,0.5762537,True,True Positive (TP)
0,0,0.018157246,True,True Negative (TN)
0,1,0.5117821,False,False Positive (FP)
0,0,0.12696417,True,True Negative (TN)
1,1,0.8762439,True,True Positive (TP)
1,1,0.73657537,True,True Positive (TP)
1,1,0.8044587,True,True Positive (TP)
1,1,0.8310263,True,True Positive (TP)
0,0,0.3585247,True,True Negative (TN)
0,0,0.01743652,True,True Negative (TN)
0,0,0.01584073,True,True Negative (TN)
0,0,0.04710864,True,True Negative (TN)
0,0,0.019901495,True,True Negative (TN)
1,1,0.9480964,True,True Positive (TP)
1,0,0.13208602,False,
0,0,0.26131314,True,True Negative (TN)
0,0,0.044472966,True,True Negative (TN)
0,0,0.024003908,True,True Negative (TN)
0,0,0.27186525,True,True Negative (TN)
1,0,0.36889753,False,
0,1,0.8333361,False,False Positive (FP)
0,0,0.2598966,True,True Negative (TN)
0,0,0.16708457,True,True Negative (TN)
0,0,0.11389399,True,True Negative (TN)
1,1,0.6608791,True,True Positive (TP)
0,0,0.019210014,True,True Negative (TN)
0,0,0.014925519,True,True Negative (TN)
0,0,0.112646796,True,True Negative (TN)
0,0,0.19012746,True,True Negative (TN)
